id,name,symbol,slug,rank,is_active,first_historical_data,last_historical_data
1,Bitcoin,BTC,bitcoin,1,1,2013-04-28T18:47:21.000Z,2021-08-12T21:49:03.000Z
2,Litecoin,LTC,litecoin,14,1,2013-04-28T18:47:22.000Z,2021-08-12T21:49:02.000Z
3,Namecoin,NMC,namecoin,705,1,2013-04-28T18:47:22.000Z,2021-08-12T21:49:02.000Z
4,Terracoin,TRC,terracoin,1796,1,2013-04-28T18:47:22.000Z,2021-08-12T21:49:02.000Z
5,Peercoin,PPC,peercoin,618,1,2013-04-28T18:47:23.000Z,2021-08-12T21:49:02.000Z
8,Feathercoin,FTC,feathercoin,1101,1,2013-05-03T03:25:15.000Z,2021-08-12T21:49:02.000Z
10,Freicoin,FRC,freicoin,1737,1,2013-05-03T03:25:15.000Z,2021-08-12T21:49:02.000Z
13,Ixcoin,IXC,ixcoin,1514,1,2013-05-08T05:20:18.000Z,2021-08-12T21:49:02.000Z
16,WorldCoin,WDC,worldcoin,4693,1,2013-05-22T03:20:20.000Z,2021-08-12T21:49:02.000Z
18,Digitalcoin,DGC,digitalcoin,2020,1,2013-06-09T17:55:21.000Z,2021-08-12T21:49:02.000Z
25,Goldcoin,GLC,goldcoin,4509,1,2013-06-14T06:45:28.000Z,2021-08-12T21:49:02.000Z
32,Fastcoin,FST,fastcoin,2171,1,2013-07-04T05:15:43.000Z,2021-08-12T21:49:02.000Z
35,Phoenixcoin,PXC,phoenixcoin,1614,1,2013-07-04T05:15:49.000Z,2021-08-12T21:49:02.000Z
37,Megacoin,MEC,megacoin,2041,1,2013-07-07T13:56:51.000Z,2021-08-12T21:49:02.000Z
41,Infinitecoin,IFC,infinitecoin,716,1,2013-07-10T13:27:02.000Z,2021-08-12T21:49:02.000Z
42,Primecoin,XPM,primecoin,1125,1,2013-07-11T03:21:19.000Z,2021-08-12T21:49:02.000Z
43,Anoncoin,ANC,anoncoin,2151,1,2013-07-15T01:31:35.000Z,2021-08-12T21:49:03.000Z
45,CasinoCoin,CSC,casinocoin,2937,1,2013-07-25T03:06:28.000Z,2021-08-12T21:49:02.000Z
50,Emerald Crypto,EMD,emerald,2042,1,2013-08-04T18:51:31.000Z,2021-08-12T21:49:02.000Z
52,XRP,XRP,xrp,6,1,2013-08-04T18:51:05.000Z,2021-08-12T21:49:03.000Z
53,Quark,QRK,quark,1152,1,2013-08-25T17:46:22.000Z,2021-08-12T21:49:03.000Z
56,Zetacoin,ZET,zetacoin,1863,1,2013-09-11T01:47:21.000Z,2021-08-12T21:49:02.000Z
61,TagCoin,TAG,tagcoin,2199,1,2013-11-05T13:32:08.000Z,2021-08-12T21:49:03.000Z
64,Public Index Network,PIN,public-index-network,1068,1,2013-11-27T06:01:46.000Z,2021-08-12T21:49:03.000Z
66,Nxt,NXT,nxt,732,1,2013-12-04T05:46:40.000Z,2021-08-12T21:49:03.000Z
67,Unobtanium,UNO,unobtanium,4260,1,2013-12-21T18:17:35.000Z,2021-08-12T21:49:03.000Z
69,Datacoin,DTC,datacoin,2471,1,2013-12-07T19:47:06.000Z,2021-08-12T21:49:03.000Z
72,Deutsche eMark,DEM,deutsche-emark,2140,1,2013-12-15T01:52:15.000Z,2021-08-12T21:49:03.000Z
74,Dogecoin,DOGE,dogecoin,7,1,2013-12-15T14:42:34.000Z,2021-08-12T21:49:03.000Z
77,Diamond,DMD,diamond,906,1,2013-12-19T12:31:59.000Z,2021-08-12T21:49:03.000Z
78,HoboNickels,HBN,hobonickels,5027,1,2013-12-20T13:32:39.000Z,2021-08-12T21:49:03.000Z
80,Orbitcoin,ORB,orbitcoin,1743,1,2013-12-21T18:12:54.000Z,2021-08-12T21:49:03.000Z
83,Omni,OMNI,omni,1379,1,2013-12-24T23:37:41.000Z,2021-08-12T21:49:03.000Z
87,FedoraCoin,TIPS,fedoracoin,1278,1,2013-12-31T16:17:26.000Z,2021-08-12T21:49:03.000Z
90,Dimecoin,DIME,dimecoin,1517,1,2014-01-06T07:42:29.000Z,2021-08-12T21:49:03.000Z
93,42-coin,42,42-coin,1233,1,2014-01-14T04:32:01.000Z,2021-08-12T21:49:03.000Z
99,Vertcoin,VTC,vertcoin,539,1,2014-01-20T05:27:57.000Z,2021-08-12T21:49:03.000Z
109,DigiByte,DGB,digibyte,91,1,2014-02-06T13:13:38.000Z,2021-08-12T21:49:03.000Z
113,SmartCoin,SMC,smartcoin,2108,1,2014-02-06T13:13:41.000Z,2021-08-12T21:49:03.000Z
118,ReddCoin,RDD,redd,342,1,2014-02-10T00:58:17.000Z,2021-08-12T21:49:03.000Z
122,PotCoin,POT,potcoin,1231,1,2014-02-10T04:23:33.000Z,2021-08-12T21:49:03.000Z
125,Blakecoin,BLC,blakecoin,2495,1,2014-02-12T06:50:14.000Z,2021-08-12T21:49:03.000Z
128,Maxcoin,MAX,maxcoin,1887,1,2014-02-12T13:33:59.000Z,2021-08-12T21:49:03.000Z
131,Dash,DASH,dash,59,1,2014-02-14T13:44:09.000Z,2021-08-12T21:49:03.000Z
132,Counterparty,XCP,counterparty,3446,1,2014-02-15T13:59:36.000Z,2021-08-12T21:49:03.000Z
141,MintCoin,MINT,mintcoin,5147,1,2014-02-19T13:39:53.000Z,2021-08-12T21:49:03.000Z
145,DopeCoin,DOPE,dopecoin,1953,1,2014-02-22T17:52:34.000Z,2021-08-12T21:49:03.000Z
148,Auroracoin,AUR,auroracoin,4760,1,2014-02-27T05:33:27.000Z,2021-08-12T21:49:03.000Z
151,Peseta Digital,PTD,pesetacoin,1859,1,2014-02-22T17:52:40.000Z,2021-08-12T21:49:03.000Z
154,Marscoin,MARS,marscoin,4671,1,2014-02-24T13:41:14.000Z,2021-08-12T21:49:03.000Z
168,Uniform Fiscal Object,UFO,uniform-fiscal-object,4388,1,2014-02-27T05:33:35.000Z,2021-08-12T21:49:03.000Z
170,BlackCoin,BLK,blackcoin,1166,1,2014-02-28T05:13:44.000Z,2021-08-12T21:49:03.000Z
175,Photon,PHO,photon,2293,1,2014-05-23T11:20:40.000Z,2021-08-12T21:49:03.000Z
182,Myriad,XMY,myriad,1033,1,2014-03-08T15:56:28.000Z,2021-08-12T21:49:03.000Z
184,DNotes,NOTE,dnotes,2393,1,2014-03-08T15:56:28.000Z,2021-08-12T21:49:03.000Z
201,Einsteinium,EMC2,einsteinium,949,1,2014-04-09T04:10:24.000Z,2021-08-12T21:49:03.000Z
212,ECC,ECC,eccoin,4796,1,2014-03-20T05:09:55.000Z,2021-08-12T21:49:03.000Z
213,MonaCoin,MONA,monacoin,349,1,2014-03-20T05:09:55.000Z,2021-08-12T21:49:03.000Z
215,Rubycoin,RBY,rubycoin,5142,1,2014-03-20T05:09:56.000Z,2021-08-12T21:49:03.000Z
217,Bela,BELA,belacoin,2106,1,2014-03-20T05:10:07.000Z,2021-08-12T21:49:03.000Z
217,Bela,BELA,belacoin,2106,1,2014-03-20T05:10:07.000Z,2021-08-12T21:49:03.000Z
217,Bela,BELA,belacoin,2106,1,2014-03-20T05:10:07.000Z,2021-08-12T21:49:03.000Z
217,Bela,BELA,belacoin,2106,1,2014-03-20T05:10:07.000Z,2021-08-12T21:49:03.000Z
217,Bela,BELA,belacoin,2106,1,2014-03-20T05:10:07.000Z,2021-08-12T21:49:03.000Z
224,FairCoin,FAIR,faircoin,1473,1,2014-03-22T14:59:12.000Z,2021-08-12T21:49:03.000Z
233,SolarCoin,SLR,solarcoin,2032,1,2014-03-29T15:35:11.000Z,2021-08-12T21:49:03.000Z
234,e-Gulden,EFL,e-gulden,1451,1,2014-03-26T12:44:50.000Z,2021-08-12T21:49:03.000Z
254,Gulden,NLG,gulden,889,1,2014-04-08T04:11:00.000Z,2021-08-12T21:49:03.000Z
258,Groestlcoin,GRS,groestlcoin,428,1,2014-04-11T20:45:53.000Z,2021-08-12T21:49:04.000Z
260,PetroDollar,XPD,petrodollar,1766,1,2014-04-15T04:36:55.000Z,2021-08-12T21:49:03.000Z
263,PLNcoin,PLNC,plncoin,2526,1,2014-04-15T04:36:58.000Z,2021-08-12T21:49:03.000Z
268,WhiteCoin,XWC,whitecoin,216,1,2014-04-18T12:12:07.000Z,2021-08-12T21:49:04.000Z
275,PopularCoin,POP,popularcoin,2190,1,2014-04-23T12:01:13.000Z,2021-08-12T21:49:04.000Z
276,Bitstar,BITS,bitstar,1919,1,2014-04-23T12:01:13.000Z,2021-08-12T21:49:03.000Z
278,Quebecoin,QBC,quebecoin,2485,1,2014-04-23T12:01:15.000Z,2021-08-12T21:49:04.000Z
290,BlueCoin,BLU,bluecoin,1874,1,2014-04-28T03:21:26.000Z,2021-08-12T21:49:04.000Z
291,MaidSafeCoin,MAID,maidsafecoin,170,1,2014-04-28T03:21:26.000Z,2021-08-12T21:49:04.000Z
293,Bitcoin Plus,XBC,bitcoin-plus,1338,1,2014-05-04T01:31:45.000Z,2021-08-12T21:49:04.000Z
298,NewYorkCoin,NYC,newyorkcoin,5030,1,2014-05-06T12:17:49.000Z,2021-08-12T21:49:04.000Z
313,Pinkcoin,PINK,pinkcoin,1281,1,2014-05-11T17:08:10.000Z,2021-08-12T21:49:04.000Z
316,Dreamcoin,DRM,dreamcoin,2268,1,2014-05-13T04:03:16.000Z,2021-08-12T21:49:04.000Z
322,Energycoin,ENRG,energycoin,2187,1,2014-05-15T12:42:25.000Z,2021-08-12T21:49:04.000Z
323,VeriCoin,VRC,vericoin,1438,1,2014-05-16T12:13:34.000Z,2021-08-12T21:49:04.000Z
328,Monero,XMR,monero,28,1,2014-05-21T01:41:13.000Z,2021-08-12T21:49:04.000Z
331,Litecoin Plus,LCP,litecoin-plus,2184,1,2014-05-21T03:17:29.000Z,2021-08-12T21:49:04.000Z
333,Curecoin,CURE,curecoin,1465,1,2014-05-26T18:12:11.000Z,2021-08-12T21:49:04.000Z
341,SuperCoin,SUPER,supercoin,2202,1,2014-05-26T16:31:29.000Z,2021-08-12T21:49:04.000Z
360,Motocoin,MOTO,motocoin,1869,1,2014-06-03T12:47:54.000Z,2021-08-12T21:49:04.000Z
362,CloakCoin,CLOAK,cloakcoin,1363,1,2014-06-07T00:08:01.000Z,2021-08-12T21:49:04.000Z
366,BitSend,BSD,bitsend,2205,1,2014-06-08T14:20:12.000Z,2021-08-12T21:49:04.000Z
367,Coin2.1,C2,coin2-1,2287,1,2014-06-08T14:20:12.000Z,2021-08-12T21:49:04.000Z
372,Bytecoin,BCN,bytecoin-bcn,228,1,2014-06-17T13:01:53.000Z,2021-08-12T21:49:04.000Z
377,Navcoin,"NAV",nav-coin,559,1,2014-06-12T11:43:36.000Z,2021-08-12T21:49:04.000Z
389,Startcoin,START,startcoin,1906,1,2014-06-15T14:58:33.000Z,2021-08-12T21:49:04.000Z
405,DigitalNote,XDN,digitalnote,900,1,2014-06-24T12:58:43.000Z,2021-08-12T21:49:04.000Z
406,Boolberry,BBR,boolberry,2396,1,2014-06-24T12:58:43.000Z,2021-08-12T21:49:04.000Z
416,HempCoin,THC,hempcoin,1386,1,2014-06-28T16:33:33.000Z,2021-08-12T21:49:04.000Z
448,Stealth,XST,stealth,1192,1,2014-07-10T12:16:32.000Z,2021-08-12T21:49:04.000Z
460,Clams,CLAM,clams,5157,1,2014-08-26T02:34:53.000Z,2021-08-12T21:49:05.000Z
463,BitShares,BTS,bitshares,197,1,2014-07-21T03:44:18.000Z,2021-08-12T21:49:05.000Z
470,Viacoin,VIA,viacoin,838,1,2014-07-18T12:24:19.000Z,2021-08-12T21:49:05.000Z
495,I/O Coin,IOC,iocoin,1443,1,2014-08-02T18:34:22.000Z,2021-08-12T21:49:05.000Z
501,Cryptonite,XCN,cryptonite,1997,1,2014-08-02T21:19:20.000Z,2021-08-12T21:49:05.000Z
502,Carboncoin,CARBON,carboncoin,1568,1,2014-08-02T21:19:20.000Z,2021-08-12T21:49:04.000Z
506,CannabisCoin,CANN,cannabiscoin,1529,1,2014-08-02T22:04:20.000Z,2021-08-12T21:49:05.000Z
512,Stellar,XLM,stellar,20,1,2014-08-05T05:44:19.000Z,2021-08-12T21:49:05.000Z
541,Syscoin,SYS,syscoin,306,1,2014-08-20T11:04:21.000Z,2021-08-12T21:49:05.000Z
551,Donu,DONU,donu,2373,1,2014-08-26T02:34:57.000Z,2021-08-12T21:49:05.000Z
558,Emercoin,EMC,emercoin,1323,1,2014-08-23T21:24:22.000Z,2021-08-12T21:49:05.000Z
572,RabbitCoin,RBBT,rabbitcoin,5153,1,2014-08-30T22:24:22.000Z,2021-08-12T21:49:05.000Z
576,GameCredits,GAME,gamecredits,664,1,2014-09-01T16:54:21.000Z,2021-08-12T21:49:05.000Z
576,GameCredits,GAME,gamecredits,664,1,2014-09-01T16:54:21.000Z,2021-08-12T21:49:05.000Z
576,GameCredits,GAME,gamecredits,664,1,2014-09-01T16:54:21.000Z,2021-08-12T21:49:05.000Z
576,GameCredits,GAME,gamecredits,664,1,2014-09-01T16:54:21.000Z,2021-08-12T21:49:05.000Z
